,JURISDICTION,EMAIL,ID_DATE,AD_DATE,COUNTY,pageCount,checkP1,checkP2,checkP3
0,ALAMEDA,Halpern@hcd.ca.gov,2022-08-25,2022-12-20,ALAMEDA,2,False,False,False
1,ALAMEDA COUNTY,Jose.Ayala@hcd.ca.gov,2024-01-04,2015-05-21,ALAMEDA,11,True,False,False
2,ALBANY,Claire.Sullivan-Halpern@hcd.ca.gov,2022-12-09,2023-09-08,ALAMEDA,8,True,False,False
3,BERKELEY,Jose.Ayala@hcd.ca.gov,2022-11-08,2023-02-28,ALAMEDA,6,True,False,False
4,DUBLIN,Jose.Ayala@hcd.ca.gov,2022-08-29,2024-01-19,ALAMEDA,12,True,False,False
5,EMERYVILLE,Claire.Sullivan-Halpern@hcd.ca.gov,2022-10-31,2023-02-03,ALAMEDA,2,False,False,False
6,FREMONT,Shawn.Danino@hcd.ca.gov,2022-11-21,2023-03-22,ALAMEDA,5,False,False,True
7,HAYWARD,Halpern@hcd.ca.gov,2022-11-28,2023-07-27,ALAMEDA,9,True,False,False
8,LIVERMORE,shawn.danino@hcd.ca.gov,2022-10-20,2023-03-24,ALAMEDA,8,True,False,False
9,NEWARK,shawn.danino@hcd.ca.gov,2023-07-12,2023-12-21,ALAMEDA,10,True,False,False
10,OAKLAND,shawn.danino@hcd.ca.gov,2022-09-28,2023-02-17,ALAMEDA,12,True,False,False
11,PIEDMONT,shawn.danino@hcd.ca.gov,2023-02-16,2023-11-09,ALAMEDA,12,True,False,False
12,PLEASANTON,Jose.Ayala@hcd.ca.gov,2022-11-14,2023-08-25,ALAMEDA,9,True,False,False
13,SAN LEANDRO,Claire.Sullivan-Halpern@hcd.ca.gov,2022-11-14,2023-02-02,ALAMEDA,5,False,False,True
14,UNION CITY,shawn.danino@hcd.ca.gov,2022-10-26,2023-05-30,ALAMEDA,10,True,False,False
15,ALPINE COUNTY,jose.jauregui@hcd.ca.gov,2022-11-02,2017-04-05,ALPINE,5,True,False,False
16,AMADOR CITY,Jose.Ayala@hcd.ca.gov,2023-05-08,2023-05-08,AMADOR,16,True,False,False
17,AMADOR COUNTY,Jose.Ayala@hcd.ca.gov,2023-05-08,2024-02-20,AMADOR,16,True,False,False
18,IONE,Jose.Ayala@hcd.ca.gov,2023-05-08,2015-06-23,AMADOR,16,True,False,False
19,JACKSON,Jose.Ayala@hcd.ca.gov,2023-05-08,2024-05-20,AMADOR,16,True,False,False
20,PLYMOUTH,Jose.Ayala@hcd.ca.gov,2023-05-08,2016-05-31,AMADOR,16,True,False,False
21,SUTTER CREEK,Jose.Ayala@hcd.ca.gov,2023-05-08,2024-03-20,AMADOR,16,True,False,False
22,BIGGS,Jose.Ayala@hcd.ca.gov,2022-11-18,2014-08-21,BUTTE,8,True,False,False
23,BUTTE COUNTY,Jose.Ayala@hcd.ca.gov,2022-10-19,2023-02-22,BUTTE,2,False,False,False
24,CHICO,Jose.Ayala@hcd.ca.gov,2022-12-05,2023-11-06,BUTTE,9,True,False,False
25,OROVILLE,Jose.Ayala@hcd.ca.gov,2022-10-25,2023-05-03,BUTTE,7,True,False,False
26,ANTIOCH,Alex.Contreras@hcd.ca.gov,2022-09-29,2023-10-12,CONTRA COSTA,10,True,False,False
27,BRENTWOOD,Jamillah.Williams@hcd.ca.gov,2023-01-13,2024-04-12,CONTRA COSTA,17,True,False,False
28,CLAYTON,Jamillah.Williams@hcd.ca.gov,2022-10-12,2024-05-14,CONTRA COSTA,15,True,False,False
29,CONCORD,Jamillah.Williams@hcd.ca.gov,2022-11-14,2023-10-20,CONTRA COSTA,15,True,False,False
30,CONTRA COSTA COUNTY,Jamillah.Williams@hcd.ca.gov,2023-04-21,2024-01-22,CONTRA COSTA,9,True,False,False
31,DANVILLE,Connor.Finney@hcd.ca.gov,2022-11-10,2024-04-09,CONTRA COSTA,13,True,False,False
32,EL CERRITO,paul.mcdougall@hcd.ca.gov,2022-12-12,2023-08-22,CONTRA COSTA,10,True,False,False
