JURISDICTION,PLANNING PERIOD,6TH CYCLE STARTED,VLI UNITS,RHNA VLI,VLI %,LI UNITS,RHNA LI,LI %,MOD UNITS,RHNA MOD,MOD %,ABOVE MOD UNITS,RHNA ABOVE MOD,ABOVE MOD %
Adelanto,10/15/2021 - 10/15/2029,TRUE,,394,,,566,,,651,,106,2152,4.9%
Agoura Hills,10/15/2021 - 10/15/2029,TRUE,5,127,3.9%,16,72,22.2%,3,55,5.5%,11,64,17.2%
Alameda,1/31/2023 - 1/31/2031,TRUE,13,1421,0.9%,11,818,1.3%,19,868,2.2%,92,2246,4.1%
Alameda County,1/31/2023 - 1/31/2031,TRUE,103,1251,8.2%,112,721,15.5%,33,763,4.3%,72,1976,3.6%
Albany,1/31/2023 - 1/31/2031,TRUE,,308,,,178,,10,175,5.7%,,453,
Alhambra,10/15/2021 - 10/15/2029,TRUE,,1774,,1,1036,0.1%,,1079,,189,2936,6.4%
Aliso Viejo,10/15/2021 - 10/15/2029,TRUE,,390,,,214,,,205,,,386,
Alpine County,8/31/2019 - 6/30/2024,TRUE,,1,,,1,,2,0,Infinity,19,0,Infinity
Alturas,8/31/2019 - 6/30/2024,TRUE,,2,,2,1,200.0%,1,1,100.0%,1,3,33.3%
Amador,9/15/2021 - 9/15/2029,TRUE,,1,,,1,,,1,,,2,
Amador County,9/15/2021 - 9/15/2029,TRUE,5,109,4.6%,12,62,19.4%,44,72,61.1%,64,134,47.8%
American Canyon,1/31/2023 - 1/31/2031,TRUE,4,169,2.4%,,109,,2,95,2.1%,78,249,31.3%
Anaheim,10/15/2021 - 10/15/2029,TRUE,241,3767,6.4%,133,2397,5.5%,124,2945,4.2%,993,8344,11.9%
Anderson,4/15/2020 - 4/15/2028,TRUE,,54,,,37,,,41,,48,109,44.0%
Angels Camp,6/15/2019 - 6/15/2027,TRUE,,57,,1,42,2.4%,,38,,9,107,8.4%
Antioch,1/31/2023 - 1/31/2031,TRUE,11,792,1.4%,8,456,1.8%,10,493,2.0%,334,1275,26.2%
Apple Valley,10/15/2021 - 10/15/2029,TRUE,,1086,,,600,,202,747,27.0%,48,1857,2.6%
Arcadia,10/15/2021 - 10/15/2029,TRUE,,1102,,,570,,,605,,264,937,28.2%
Arcata,8/31/2019 - 8/31/2027,TRUE,167,142,117.6%,80,95,84.2%,136,111,122.5%,89,262,34.0%
Arroyo Grande,12/31/2020 - 12/31/2028,TRUE,,170,,15,107,14.0%,15,124,12.1%,33,291,11.3%
Artesia,10/15/2021 - 10/15/2029,TRUE,,312,,,168,,,128,,9,461,2.0%
Arvin,12/31/2023 - 12/31/2031,TRUE,,124,,,79,,,268,,,703,
Atascadero,12/31/2020 - 12/31/2028,TRUE,3,207,1.4%,103,131,78.6%,111,151,73.5%,87,354,24.6%
Atherton,1/31/2023 - 1/31/2031,TRUE,6,94,6.4%,7,54,13.0%,,56,,25,144,17.4%
Atwater,1/31/2024 - 1/31/2032,TRUE,,768,,,526,,,508,,,1215,
Auburn,5/15/2021 - 5/15/2029,TRUE,,68,,,41,,10,60,16.7%,37,141,26.2%
Avalon,10/15/2021 - 10/15/2029,TRUE,,8,,,5,,,3,,4,11,36.4%
Avenal,1/31/2024 - 1/31/2032,TRUE,,48,,,37,,,55,,,137,
Azusa,10/15/2021 - 10/15/2029,TRUE,,760,,1,368,0.3%,1,382,0.3%,1,1141,0.1%
Bakersfield,12/31/2023 - 12/31/2031,TRUE,,11129,,,7082,,,5317,,,13933,
Baldwin Park,10/15/2021 - 10/15/2029,TRUE,,576,,,275,,,263,,127,887,14.3%
Banning,10/15/2021 - 10/15/2029,TRUE,,317,,,193,,,280,,,883,
Barstow,10/15/2021 - 10/15/2029,TRUE,,172,,,228,,,300,,6,820,0.7%
Beaumont,10/15/2021 - 10/15/2029,TRUE,,1229,,,721,,,723,,,1537,
Bell,10/15/2021 - 10/15/2029,TRUE,,43,,,24,,2,29,6.9%,19,133,14.3%
Bell Gardens,10/15/2021 - 10/15/2029,TRUE,,100,,,29,,,72,,48,302,15.9%
Bellflower,10/15/2021 - 10/15/2029,TRUE,,1015,,,488,,,553,,157,1679,9.4%
Belmont,1/31/2023 - 1/31/2031,TRUE,6,488,1.2%,6,281,2.1%,6,283,2.1%,6,733,0.8%
Belvedere,1/31/2023 - 1/31/2031,TRUE,,49,,,28,,,23,,,60,
Benicia,1/31/2023 - 1/31/2031,TRUE,,212,,,127,,,123,,8,288,2.8%
Berkeley,1/31/2023 - 1/31/2031,TRUE,61,2446,2.5%,49,1408,3.5%,25,1416,1.8%,285,3664,7.8%
Beverly Hills,10/15/2021 - 10/15/2029,TRUE,1,1008,0.1%,1,680,0.1%,,602,,120,814,14.7%
Big Bear Lake,10/15/2021 - 10/15/2029,TRUE,,50,,,33,,,37,,45,92,48.9%
Biggs,6/15/2022 - 6/15/2030,TRUE,,36,,,1,,,12,,,32,
Bishop,4/30/2021 - 4/30/2029,TRUE,,24,,6,20,30.0%,3,21,14.3%,7,53,13.2%
Blue Lake,8/31/2019 - 8/31/2027,TRUE,,7,,,4,,1,5,20.0%,6,7,85.7%
Blythe,10/15/2021 - 10/15/2029,TRUE,,82,,,71,,3,96,3.1%,2,245,0.8%
Bradbury,10/15/2021 - 10/15/2029,TRUE,,16,,,9,,,9,,3,7,42.9%
Brawley,10/15/2021 - 10/15/2029,TRUE,,399,,2,210,1.0%,,202,,73,615,11.9%
Brea,10/15/2021 - 10/15/2029,TRUE,,669,,,393,,,403,,23,900,2.6%
Brentwood,1/31/2023 - 1/31/2031,TRUE,6,402,1.5%,7,232,3.0%,6,247,2.4%,113,641,17.6%
Brisbane,1/31/2023 - 1/31/2031,TRUE,2,317,0.6%,1,183,0.5%,2,303,0.7%,,785,
Buellton,2/15/2023 - 2/15/2031,TRUE,,55,,,37,,,30,,,43,
Buena Park,10/15/2021 - 10/15/2029,TRUE,74,2119,3.5%,34,1343,2.5%,18,1573,1.1%,141,3884,3.6%
Burbank,10/15/2021 - 10/15/2029,TRUE,3,2553,0.1%,313,1418,22.1%,125,1409,8.9%,835,3392,24.6%
Burlingame,1/31/2023 - 1/31/2031,TRUE,,863,,,497,,,529,,,1368,
